wuf75-01 28679 -1 2 3 -4 5 6 7 8 -9 -10 11 12 -13 14 -15 -16 17 18 -19 -20 -21 22 23 24 -25 26 -27 28 29 -30 31 32 33 34 -35 -36 37 38 -39 40 41 -42 43 -44 -45 -46 47 -48 49 50 51 -52 -53 -54 -55 56 -57 -58 59 -60 61 62 63 64 65 66 -67 -68 -69 70 71 72 73 74 -75 0
wuf75-010 26679 1 2 -3 -4 5 -6 7 8 9 -10 11 -12 13 14 15 -16 17 -18 19 20 21 22 23 -24 25 -26 27 28 29 30 31 32 33 -34 35 36 -37 -38 39 40 41 -42 43 44 -45 46 47 -48 -49 -50 -51 52 -53 54 55 56 57 58 59 60 -61 -62 63 -64 65 66 67 -68 -69 70 71 -72 -73 -74 -75 0
wuf75-0100 24420 1 2 3 4 5 6 7 8 -9 10 -11 -12 -13 -14 -15 16 17 18 19 20 -21 22 23 -24 25 26 27 28 -29 30 -31 32 33 34 -35 36 37 38 39 -40 41 42 43 44 45 46 47 -48 49 -50 51 52 -53 54 55 56 57 58 59 60 61 -62 63 64 65 -66 -67 68 69 70 71 72 -73 -74 75 0
wuf75-011 25215 -1 2 3 4 -5 6 7 8 9 10 11 12 -13 14 15 16 17 18 19 20 21 -22 23 -24 25 -26 27 28 29 -30 -31 -32 -33 34 -35 36 37 -38 -39 40 41 42 -43 44 45 46 47 -48 49 50 51 52 53 -54 55 56 57 58 59 -60 61 -62 63 64 65 -66 67 -68 69 70 71 -72 73 74 75 0
wuf75-012 22172 -1 -2 -3 4 5 6 7 8 9 10 -11 12 13 -14 -15 -16 17 18 19 -20 -21 22 23 24 25 -26 27 28 29 30 31 32 33 34 -35 -36 37 -38 39 40 41 -42 43 -44 -45 46 -47 -48 49 -50 51 52 -53 -54 55 56 57 58 59 -60 61 -62 63 64 65 -66 -67 -68 69 70 71 72 73 -74 -75 0
wuf75-013 24310 1 -2 -3 4 -5 6 7 8 9 10 -11 -12 13 -14 -15 -16 17 18 -19 -20 -21 22 -23 -24 25 -26 -27 -28 -29 30 31 -32 33 34 35 36 37 38 -39 40 -41 -42 -43 -44 45 46 -47 48 -49 -50 51 52 53 54 55 56 -57 58 59 -60 -61 -62 63 64 65 -66 67 68 -69 -70 -71 72 -73 74 75 0
wuf75-014 26614 1 2 -3 -4 -5 -6 -7 -8 -9 10 11 12 -13 -14 -15 -16 17 18 -19 20 21 22 -23 -24 25 -26 27 -28 -29 30 -31 32 -33 34 35 36 37 38 -39 40 41 42 43 44 45 46 47 48 49 50 -51 52 53 54 -55 56 57 -58 59 -60 61 62 -63 -64 65 -66 67 68 -69 -70 -71 72 -73 74 75 0
wuf75-015 26406 1 2 3 4 5 6 7 8 -9 10 -11 12 13 -14 15 16 17 -18 -19 20 21 -22 -23 -24 25 26 27 28 29 30 31 -32 33 34 35 36 -37 38 39 40 41 42 43 44 45 46 47 48 -49 -50 51 -52 53 54 -55 56 -57 -58 59 -60 61 62 63 -64 -65 -66 -67 -68 69 70 71 72 73 74 -75 0
wuf75-016 25997 1 2 3 -4 5 6 7 -8 9 10 11 12 13 14 -15 16 17 18 19 -20 21 22 23 -24 25 -26 -27 28 29 30 31 -32 33 34 -35 -36 37 38 -39 -40 41 42 43 44 -45 46 47 48 -49 -50 51 -52 -53 -54 55 -56 57 -58 59 60 61 62 -63 64 65 66 67 68 69 70 71 72 73 74 75 0
wuf75-017 26069 1 -2 3 -4 5 -6 7 -8 9 10 11 12 13 -14 15 16 -17 18 19 20 21 22 23 -24 25 26 -27 -28 29 -30 31 -32 33 -34 35 36 -37 38 39 40 -41 -42 43 44 45 46 -47 48 49 -50 51 52 -53 -54 -55 -56 -57 58 -59 60 -61 -62 -63 64 65 -66 67 -68 69 70 -71 72 -73 -74 75 0
